
--- New Trial Started ---
Round: 1, Labeled Samples: 200, Test Accuracy: 62.76%, Query Time: 0.00s
Round: 2, Labeled Samples: 300, Test Accuracy: 79.00%, Query Time: 0.00s
Round: 3, Labeled Samples: 400, Test Accuracy: 84.66%, Query Time: 0.00s
Round: 4, Labeled Samples: 500, Test Accuracy: 86.14%, Query Time: 0.00s
Round: 5, Labeled Samples: 600, Test Accuracy: 86.76%, Query Time: 0.00s
Round: 6, Labeled Samples: 700, Test Accuracy: 87.13%, Query Time: 0.00s
Round: 7, Labeled Samples: 800, Test Accuracy: 87.75%, Query Time: 0.00s
Round: 8, Labeled Samples: 900, Test Accuracy: 88.59%, Query Time: 0.00s
Round: 9, Labeled Samples: 1000, Test Accuracy: 88.77%, Query Time: 0.00s
Round: 10, Labeled Samples: 1100, Test Accuracy: 88.58%, Query Time: 0.00s

--- New Trial Started ---
Round: 1, Labeled Samples: 200, Test Accuracy: 72.32%, Query Time: 0.00s
Round: 2, Labeled Samples: 300, Test Accuracy: 77.87%, Query Time: 0.00s
Round: 3, Labeled Samples: 400, Test Accuracy: 81.55%, Query Time: 0.00s
Round: 4, Labeled Samples: 500, Test Accuracy: 83.44%, Query Time: 0.00s
Round: 5, Labeled Samples: 600, Test Accuracy: 85.62%, Query Time: 0.00s
Round: 6, Labeled Samples: 700, Test Accuracy: 85.83%, Query Time: 0.00s
Round: 7, Labeled Samples: 800, Test Accuracy: 86.89%, Query Time: 0.00s
Round: 8, Labeled Samples: 900, Test Accuracy: 87.76%, Query Time: 0.00s
Round: 9, Labeled Samples: 1000, Test Accuracy: 88.34%, Query Time: 0.00s
Round: 10, Labeled Samples: 1100, Test Accuracy: 88.93%, Query Time: 0.00s

--- New Trial Started ---
Round: 1, Labeled Samples: 200, Test Accuracy: 65.02%, Query Time: 0.00s
Round: 2, Labeled Samples: 300, Test Accuracy: 79.81%, Query Time: 0.00s
Round: 3, Labeled Samples: 400, Test Accuracy: 83.69%, Query Time: 0.00s
Round: 4, Labeled Samples: 500, Test Accuracy: 85.60%, Query Time: 0.00s
Round: 5, Labeled Samples: 600, Test Accuracy: 85.61%, Query Time: 0.00s
Round: 6, Labeled Samples: 700, Test Accuracy: 87.10%, Query Time: 0.00s
Round: 7, Labeled Samples: 800, Test Accuracy: 88.05%, Query Time: 0.00s
Round: 8, Labeled Samples: 900, Test Accuracy: 88.16%, Query Time: 0.00s
Round: 9, Labeled Samples: 1000, Test Accuracy: 88.45%, Query Time: 0.00s
Round: 10, Labeled Samples: 1100, Test Accuracy: 88.66%, Query Time: 0.00s

--- New Trial Started ---
Round: 1, Labeled Samples: 200, Test Accuracy: 63.14%, Query Time: 0.00s
Round: 2, Labeled Samples: 300, Test Accuracy: 80.52%, Query Time: 0.00s
Round: 3, Labeled Samples: 400, Test Accuracy: 83.38%, Query Time: 0.00s
Round: 4, Labeled Samples: 500, Test Accuracy: 85.63%, Query Time: 0.00s
Round: 5, Labeled Samples: 600, Test Accuracy: 86.37%, Query Time: 0.00s
Round: 6, Labeled Samples: 700, Test Accuracy: 87.32%, Query Time: 0.00s
Round: 7, Labeled Samples: 800, Test Accuracy: 88.01%, Query Time: 0.00s
Round: 8, Labeled Samples: 900, Test Accuracy: 88.50%, Query Time: 0.00s
Round: 9, Labeled Samples: 1000, Test Accuracy: 88.81%, Query Time: 0.00s
Round: 10, Labeled Samples: 1100, Test Accuracy: 88.90%, Query Time: 0.00s

--- New Trial Started ---
Round: 1, Labeled Samples: 200, Test Accuracy: 68.06%, Query Time: 0.00s
Round: 2, Labeled Samples: 300, Test Accuracy: 79.33%, Query Time: 0.00s
Round: 3, Labeled Samples: 400, Test Accuracy: 83.58%, Query Time: 0.00s
Round: 4, Labeled Samples: 500, Test Accuracy: 85.20%, Query Time: 0.00s
Round: 5, Labeled Samples: 600, Test Accuracy: 86.59%, Query Time: 0.00s
Round: 6, Labeled Samples: 700, Test Accuracy: 87.64%, Query Time: 0.00s
Round: 7, Labeled Samples: 800, Test Accuracy: 87.87%, Query Time: 0.00s
Round: 8, Labeled Samples: 900, Test Accuracy: 88.66%, Query Time: 0.00s
Round: 9, Labeled Samples: 1000, Test Accuracy: 89.45%, Query Time: 0.00s
Round: 10, Labeled Samples: 1100, Test Accuracy: 89.58%, Query Time: 0.00s
